blank,session,date,filename,unit,topic,long-topic,title,pad-slug,image,zotero-tag,zotero-readings,objective,tags,contents
,1,18.10,2024-10-18-1.md,,Einfühurung,,1. Einfühurung,1,cover.png,1-Einfühurung,,,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---"
,2,25.10,2024-10-25-2.md,Grundlagen,Digitale Religion – was ist das?,"Digitale Praxis, hybride Räume, Schnittstellen online-offline ",2. Grundlagen: Digitale Religion – was ist das?,2,ceiling-lights.jpg,2-Digitale-Religion-–-was-ist-das?,evolviReligionInternetDigital2021,,[2],"---
layout: post
session: 2
tags: [2]
level: overview
---"
,3,01.11,2024-11-01-3.md,Grundlagen,Affordanzen der Sozialen Medien,"Interaktionen, Ästhetik, Policies, Algorithmen…",3. Grundlagen: Affordanzen der Sozialen Medien,3,instagram-bushes.jpg,3-Affordanzen-der-Sozialen-Medien,richterRelationaleAffordanzenOder2022,,[3],"---
layout: post
session: 3
tags: [3]
level: overview
---"
,4,08.11,2024-11-08-4.md,Grundlagen,Influencing als Phänomen/Die Figur des/r “Influencer*in“,"Formen der Medialisierung Ästhetische Praktiken, Sensorik",4. Grundlagen: Influencing als Phänomen/Die Figur des/r “Influencer*in“,4,instagram-thread.jpg,4-Influencing-als-Phänomen/Die-Figur-des/r-“Influencer*in“,muellerGlaubensinfluencerInnenAuf2024,,[4],"---
layout: post
session: 4
tags: [4]
level: overview
---"
,5,15.11,2024-11-15-5.md,Forschungsmethoden,On- und Offline Fragen,Hybride Ethnographie,5. Forschungsmethoden: On- und Offline Fragen,5,globe-network.jpg,5-On-und-Offline-Fragen,przybylskiIntroductionHybridEthnography2021,,[5],"---
layout: post
session: 5
tags: [5]
level: overview
---"
,6,22.11,2024-11-22-6.md,Forschungsmethoden,Daten-Scraping,Sozial-Media-Inhalte herunterladen,6. Forschungsmethoden: Daten-Scraping,6,phone-bubbles.jpg,6-Daten-Scraping,,,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---"
,7,29.11,2024-11-29-7.md,Forschungsmethoden,Inhaltsanalyse & Medienanalyse,"Fragestellungen, Codieren, Bewerten",7. Forschungsmethoden: Inhaltsanalyse & Medienanalyse,7,facebook-arcade.jpg,7-Inhaltsanalyse-Medienanalyse,roesslerWozuQuantitativeStandardisierte2017,,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---"
,8,06.12,2024-12-06-8.md,Religiöse Autorität,Religiöse Autorität im digitalen Raum (1),"Akteure und Diskurse (Pluralisierung, Herausforderung, Neukonstituierung)",8. Religiöse Autorität: Religiöse Autorität im digitalen Raum (1),8,people-speech-bubbles.jpg,8-Religiöse-Autorität-im-digitalen-Raum-(1),alatasMediatingAuthoritySufi2022,,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---"
,9,13.12,2024-12-13-9.md,Religiöse Autorität,Religiöse Autorität im digitalen Raum (2),"Mechanismen der Autorisierung, Quellenbezüge, Narrative",9. Religiöse Autorität: Religiöse Autorität im digitalen Raum (2),9,screen-head.jpg,9-Religiöse-Autorität-im-digitalen-Raum-(2),latifMuslimAmericanCyber2018,,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---"
,10,20.12,2024-12-20-10.md,Religiöse Autorität,Digitale Religionen & Identität (1),,10. Religiöse Autorität: Digitale Religionen & Identität (1),10,man-sillhouette-led.jpg,10-Digitale-Religionen-Identität-(1),aeschbachWhatBritishMuslimsReallyThink2017,,[10],"---
layout: post
session: 10
tags: [10]
level: overview
---"
,11,17.01,2025-01-17-11.md,Religiöse Autorität,Digitale Religionen & Identität (2),"Gender, Feminismus, queere Religion",11. Religiöse Autorität: Digitale Religionen & Identität (2),11,people-network.jpg,11-Digitale-Religionen-Identität-(2),petersonUnrulySoulsDigital2022,,[11],"---
layout: post
session: 11
tags: [11]
level: overview
---"
,12,24.01,2025-01-24-12.md,Pluralität,Interreligiöser Dialog,"Institutionen, Akteure, Diskurse",12. Pluralität: Interreligiöser Dialog,12,computer-group.jpg,12-Interreligiöser-Dialog,,,[12],"---
layout: post
session: 12
tags: [12]
level: overview
---"
,13,31.01,2025-01-31-13.md,Pluralität,Erinnerung & Pluralität (1),Allianzen und Konflikte ,13. Pluralität: Erinnerung & Pluralität (1),13,woman-neon.jpg,13-Erinnerung-Pluralität-(1),battegayNeverForgetRepraesentationDeutungsmacht2023,,[13],"---
layout: post
session: 13
tags: [13]
level: overview
---"
,14,07.02,2025-02-07-14.md,Pluralität,Erinnerung & Pluralität (2),Allianzen und Konflikte,14. Pluralität: Erinnerung & Pluralität (2),14,hannukah-rainbow.jpg,14-Erinnerung-Pluralität-(2),tsuriaUnderstandingJewishDigital2018,,[14],"---
layout: post
session: 14
tags: [14]
level: overview
---"
,15,14.02,2025-02-14-15.md,,Rückblick,,15. Rückblick,15,video-timeline.jpg,15-Rückblick,,,[15],"---
layout: post
session: 15
tags: [15]
level: overview
---"
